latitude,longitude,
8.07937,77.54976, 
8.07964,77.54994, 
8.07966,77.54994, 
8.07982,77.54997, 
8.081,77.54979, 
8.08133,77.54975, 
8.08149,77.54973, 
8.08194,77.54968, 
8.08194,77.54968, 
8.08215,77.54965, 
8.08266,77.54959, 
8.08416,77.5495, 
8.08433,77.54948, 
8.08456,77.54947, 
8.0851,77.54942, 
8.08562,77.5494, 
8.08596,77.54938, 
8.08655,77.54933, 
8.08693,77.54931, 
8.08776,77.54928, 
8.08835,77.54925, 
8.08847,77.54924, 
8.08864,77.54924, 
8.08882,77.54923, 
8.08951,77.54922, 
8.09001,77.54923, 
8.09125,77.54929, 
8.09181,77.54927, 
8.09228,77.54925, 
8.09244,77.54924, 
8.0926,77.54923, 
8.09284,77.54922, 
8.09284,77.54922, 
8.09313,77.54912, 
8.09322,77.54909, 
8.09349,77.54898, 
8.09374,77.54873, 
8.09405,77.54844, 
8.09427,77.54827, 
8.09432,77.54821, 
8.09435,77.54817, 
8.0948,77.54767, 
8.09518,77.54724, 
8.09533,77.54712, 
8.0955,77.54694, 
8.09656,77.54576, 
8.09709,77.54518, 
8.09736,77.54489, 
8.09771,77.54456, 
8.09797,77.54427, 
8.09831,77.54403, 
8.09856,77.54388, 
8.09905,77.54356, 
8.0995,77.54328, 
8.09986,77.54306, 
8.10114,77.54231, 
8.10124,77.54225, 
8.10131,77.54221, 
8.10157,77.54204, 
8.10173,77.54193, 
8.10202,77.54175, 
8.10272,77.54129, 
8.10291,77.54121, 
8.10403,77.54048, 
8.10469,77.54008, 
8.10556,77.5395, 
8.10565,77.53942, 
8.10605,77.53917, 
8.10631,77.539, 
8.10672,77.53874, 
8.10698,77.53858, 
8.10752,77.53824, 
8.10765,77.53816, 
8.1082,77.53782, 
8.10861,77.53755, 
8.10877,77.53746, 
8.10909,77.53719, 
8.10917,77.5371, 
8.10922,77.53704, 
8.1093,77.53693, 
8.1093,77.53693, 
8.10927,77.5369, 
8.10924,77.53686, 
8.10924,77.5368, 
8.10925,77.53676, 
8.10929,77.5367, 
8.10934,77.53668, 
8.10943,77.53667, 
8.10946,77.53667, 
8.10951,77.53671, 
8.10955,77.53675, 
8.10955,77.53675, 
8.10979,77.53682, 
8.10981,77.53683, 
8.11002,77.53687, 
8.11026,77.53692, 
8.11069,77.53703, 
8.11106,77.53717, 
8.11129,77.53732, 
8.11149,77.53751, 
8.11184,77.53786, 
8.11263,77.53867, 
8.11269,77.53873, 
8.11331,77.53937, 
8.11397,77.54003, 
8.11429,77.54036, 
8.11435,77.54043, 
8.11519,77.5413, 
8.11551,77.5416, 
8.11598,77.54203, 
8.11657,77.54254, 
8.11713,77.54298, 
8.11771,77.5434, 
8.11807,77.54364, 
8.11809,77.54366, 
8.11914,77.54429, 
8.11974,77.54463, 
8.12104,77.54537, 
8.12139,77.54557, 
8.12176,77.5457, 
8.12217,77.54583, 
8.12259,77.54592, 
8.12304,77.54603, 
8.12347,77.54619, 
8.12391,77.54646, 
8.12441,77.54692, 
8.12465,77.5473, 
8.12498,77.54779, 
8.12525,77.54811, 
8.12562,77.54852, 
8.12603,77.54884, 
8.12637,77.54906, 
8.12659,77.54916, 
8.12675,77.54923, 
8.12763,77.54945, 
8.12845,77.5496, 
8.12895,77.54971, 
8.12975,77.54993, 
8.13111,77.55032, 
8.13136,77.55039, 
8.13189,77.55056, 
8.13355,77.55098, 
8.13478,77.55127, 
8.13536,77.55142, 
8.13598,77.55162, 
8.13664,77.55196, 
8.13716,77.55236, 
8.13758,77.55282, 
8.13795,77.55345, 
8.13811,77.55384, 
8.1382,77.55408, 
8.13822,77.55418, 
8.1383,77.55456, 
8.13832,77.55523, 
8.13829,77.55582, 
8.13824,77.55789, 
8.13815,77.55921, 
8.13796,77.56115, 
8.13789,77.56194, 
8.13784,77.56239, 
8.13779,77.563, 
8.13778,77.56355, 
8.13777,77.56487, 
8.13774,77.56591, 
8.13774,77.56599, 
8.13772,77.5666, 
8.13771,77.56741, 
8.13775,77.56794, 
8.13786,77.56843, 
8.13811,77.569, 
8.13846,77.56947, 
8.13861,77.56964, 
8.13905,77.57006, 
8.13956,77.57036, 
8.14122,77.57097, 
8.14127,77.57099, 
8.14222,77.57128, 
8.14315,77.57163, 
8.14397,77.57194, 
8.14535,77.57253, 
8.14613,77.57283, 
8.14658,77.57299, 
8.14726,77.57336, 
8.14792,77.57387, 
8.14849,77.57447, 
8.1489,77.57489, 
8.14927,77.57525, 
8.14985,77.57579, 
8.15065,77.57636, 
8.15084,77.57647, 
8.15161,77.57697, 
8.15295,77.57792, 
8.15337,77.57818, 
8.15379,77.57845, 
8.15429,77.57869, 
8.15492,77.5789, 
8.15614,77.5791, 
8.15678,77.57918, 
8.15731,77.57921, 
8.15779,77.57923, 
8.15834,77.57916, 
8.15898,77.57901, 
8.1597,77.5787, 
8.16029,77.57836, 
8.16086,77.57802, 
8.16136,77.57776, 
8.16163,77.57762, 
8.16204,77.57752, 
8.16218,77.57749, 
8.16244,77.57745, 
8.16306,77.57741, 
8.16388,77.57755, 
8.16436,77.57775, 
8.16487,77.57806, 
8.16529,77.57847, 
8.16543,77.57863, 
8.16583,77.57901, 
8.16611,77.57927, 
8.16636,77.57955, 
8.16685,77.57995, 
8.16738,77.5802, 
8.16776,77.58035, 
8.16834,77.58044, 
8.16893,77.58043, 
8.16941,77.58035, 
8.16994,77.58015, 
8.17055,77.57985, 
8.17111,77.57957, 
8.17159,77.57935, 
8.17213,77.5792, 
8.17282,77.57909, 
8.17361,77.579, 
8.1742,77.5789, 
8.17471,77.5787, 
8.1751,77.57849, 
8.17522,77.57843, 
8.17593,77.5779, 
8.17662,77.57731, 
8.17681,77.57713, 
8.17701,77.57694, 
8.1772,77.57679, 
8.17778,77.57642, 
8.1784,77.57612, 
8.17852,77.57608, 
8.17939,77.57586, 
8.18047,77.57579, 
8.18092,77.57578, 
8.18257,77.57572, 
8.18471,77.57563, 
8.1851,77.5756, 
8.18576,77.57558, 
8.18646,77.57555, 
8.18723,77.5754, 
8.18824,77.57515, 
8.18927,77.57491, 
8.19018,77.57468, 
8.19078,77.57458, 
8.19156,77.57455, 
8.19264,77.57461, 
8.19363,77.57466, 
8.19427,77.57471, 
8.19465,77.57473, 
8.19616,77.57482, 
8.19717,77.57477, 
8.19781,77.57465, 
8.19865,77.57441, 
8.19923,77.57419, 
8.19994,77.5738, 
8.20055,77.57342, 
8.20146,77.57286, 
8.20213,77.57243, 
8.20222,77.57238, 
8.2026,77.57213, 
8.20279,77.57202, 
8.20335,77.57163, 
8.20386,77.57135, 
8.20441,77.57116, 
8.205,77.57107, 
8.2057,77.57107, 
8.20619,77.57115, 
8.20701,77.57147, 
8.20838,77.57225, 
8.20951,77.57288, 
8.21022,77.57336, 
8.21062,77.5737, 
8.21129,77.57428, 
8.21185,77.57465, 
8.21215,77.5748, 
8.21227,77.57486, 
8.21289,77.57503, 
8.21397,77.57524, 
8.21508,77.57544, 
8.21638,77.57566, 
8.21706,77.57574, 
8.21761,77.57574, 
8.21823,77.57567, 
8.21889,77.57553, 
8.21979,77.57524, 
8.22118,77.57483, 
8.22147,77.57476, 
8.22183,77.57468, 
8.22295,77.57445, 
8.22452,77.57412, 
8.22579,77.57389, 
8.22617,77.57386, 
8.22627,77.57384, 
8.22691,77.57379, 
8.22754,77.57377, 
8.22856,77.57377, 
8.2297,77.57386, 
8.23062,77.57393, 
8.23138,77.57395, 
8.23192,77.57391, 
8.23212,77.57386, 
8.23245,77.57378, 
8.23298,77.57358, 
8.23418,77.57304, 
8.23485,77.57276, 
8.23549,77.57254, 
8.23615,77.57236, 
8.23662,77.57226, 
8.23728,77.57212, 
8.23734,77.57212, 
8.2376,77.5721, 
8.23831,77.57205, 
8.23883,77.57201, 
8.23933,77.5719, 
8.23998,77.57166, 
8.24046,77.5714, 
8.24101,77.57105, 
8.24142,77.5708, 
8.24187,77.57059, 
8.24248,77.57035, 
8.24318,77.57011, 
8.24381,77.56986, 
8.24429,77.56967, 
8.24529,77.5693, 
8.24622,77.56889, 
8.24692,77.56856, 
8.24706,77.56848, 
8.24832,77.56784, 
8.24886,77.56757, 
8.24924,77.56743, 
